                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   4.76,                 4.8613,                 3.2919,                0.00304,                0.00909,                0.00063,                0.00023,                    nan,                    nan,                    nan,               0.074416,               0.001581,               0.001581
                      2,                 3.8586,                  4.385,                 2.7275,                0.01805,                0.01515,                0.00068,                0.00022,                    nan,                    nan,                    nan,               0.048454,              0.0031787,              0.0031787
                      3,                 3.5651,                 4.2655,                 2.5447,                0.01474,                0.01818,                0.00292,                0.00079,                 4.7971,                 6.6469,                 4.1492,               0.022486,                0.00477,                0.00477
                      4,                 3.3249,                 3.8676,                 2.3969,                0.01591,                0.02121,                  0.008,                0.00263,                 3.8841,                 26.734,                 2.9084,              0.0057855,              0.0057855,              0.0057855
                      5,                 3.1993,                 3.7105,                  2.322,                0.05542,                0.06061,                0.01251,                0.00369,                 3.7938,                 11.806,                 2.7614,              0.0057739,              0.0057739,              0.0057739
                      6,                 3.0421,                  3.522,                 2.2138,                0.02215,                0.21515,                  0.014,                0.00514,                 3.1779,                 43.616,                 2.3953,              0.0057624,              0.0057624,              0.0057624
                      7,                 3.0221,                 3.3211,                 2.1849,                0.14247,                0.26061,                0.08687,                0.02956,                 2.8869,                  5.227,                 2.2501,              0.0057509,              0.0057509,              0.0057509
                      8,                 2.8698,                 3.2054,                 2.0999,                0.30798,                0.28182,                0.21623,                0.08322,                 2.7367,                 6.4158,                 2.1735,              0.0057394,              0.0057394,              0.0057394
                      9,                 2.8052,                 3.1284,                 2.0865,                0.31693,                0.33333,                0.27368,                0.09835,                 2.7361,                 3.5227,                 2.1278,              0.0057279,              0.0057279,              0.0057279
                     10,                 2.7721,                 3.0421,                 2.0441,                0.20635,                0.19394,                0.12521,                0.04763,                 2.9126,                 3.9617,                 2.2391,              0.0057164,              0.0057164,              0.0057164
                     11,                  2.713,                 2.9485,                 1.9787,                0.46013,                0.32727,                0.32137,                0.12337,                 2.7146,                 3.5707,                  2.116,              0.0057049,              0.0057049,              0.0057049
                     12,                 2.6756,                 2.9107,                 1.9505,                0.32073,                0.20604,                0.18563,                0.07243,                 3.3177,                 3.9993,                 2.3872,              0.0056934,              0.0056934,              0.0056934
                     13,                 2.6081,                 2.7726,                  1.905,                 0.4144,                0.37879,                0.33321,                0.15506,                 2.5024,                 2.9699,                 1.8711,              0.0056818,              0.0056818,              0.0056818
                     14,                 2.5431,                 2.6495,                 1.8408,                0.58314,                0.37576,                0.42396,                0.20825,                  2.388,                 3.1639,                 1.8238,              0.0056703,              0.0056703,              0.0056703
                     15,                  2.533,                 2.6062,                 1.7994,                0.33717,                0.28485,                0.22829,                0.09015,                 2.6253,                 4.2654,                 2.0154,              0.0056588,              0.0056588,              0.0056588
                     16,                 2.4492,                 2.5878,                  1.764,                0.52815,                0.37273,                0.41509,                0.20362,                 2.5093,                 2.8092,                 1.8786,              0.0056473,              0.0056473,              0.0056473
                     17,                 2.4361,                 2.5521,                 1.7645,                0.46871,                0.38788,                0.38219,                0.18542,                  2.491,                 3.3429,                 1.8592,              0.0056358,              0.0056358,              0.0056358
                     18,                  2.432,                 2.4804,                 1.7487,                0.54692,                0.44242,                 0.4645,                0.23953,                 2.3495,                 2.9527,                 1.7548,              0.0056243,              0.0056243,              0.0056243
                     19,                 2.4038,                 2.4633,                 1.7373,                0.55175,                0.44242,                0.46037,                0.23952,                 2.2539,                 3.8755,                 1.7241,              0.0056128,              0.0056128,              0.0056128
                     20,                 2.3922,                 2.3943,                 1.7145,                0.51676,                0.41515,                0.43612,                0.22587,                  2.314,                 3.3048,                 1.7471,              0.0056012,              0.0056012,              0.0056012
                     21,                 2.3443,                 2.3583,                 1.6812,                0.51923,                0.45758,                0.49312,                  0.254,                 2.3167,                 3.2799,                  1.762,              0.0055897,              0.0055897,              0.0055897
                     22,                 2.3508,                 2.3446,                 1.6995,                0.58902,                0.44733,                0.48736,                0.24808,                 2.2817,                 3.5768,                 1.7293,              0.0055782,              0.0055782,              0.0055782
                     23,                 2.3048,                 2.2932,                 1.6474,                 0.6031,                0.48182,                0.53063,                 0.2839,                 2.2883,                 2.2787,                 1.6792,              0.0055667,              0.0055667,              0.0055667
                     24,                 2.3454,                  2.287,                  1.673,                0.60696,                 0.4303,                 0.5013,                 0.2606,                 2.2854,                 3.3685,                 1.7317,              0.0055552,              0.0055552,              0.0055552
                     25,                 2.2578,                 2.2144,                 1.6352,                0.52224,                0.48182,                0.51212,                0.28503,                 2.2241,                 2.2919,                 1.6763,              0.0055437,              0.0055437,              0.0055437
                     26,                 2.2743,                 2.2436,                 1.6425,                0.64679,                0.51515,                 0.5807,                0.32266,                 2.1747,                 2.1754,                 1.6495,              0.0055322,              0.0055322,              0.0055322
                     27,                 2.2511,                 2.2176,                 1.6212,                 0.5768,                0.47497,                0.51498,                0.28218,                 2.2405,                 2.6088,                 1.6793,              0.0055206,              0.0055206,              0.0055206
                     28,                 2.2599,                 2.1862,                 1.6167,                0.58292,                0.55482,                 0.5635,                0.31695,                 2.1238,                 2.2712,                 1.6245,              0.0055091,              0.0055091,              0.0055091
                     29,                 2.2294,                 2.0926,                 1.6073,                0.62481,                0.51818,                 0.5382,                0.27412,                 2.3291,                 2.4047,                  1.731,              0.0054976,              0.0054976,              0.0054976
                     30,                 2.1662,                 2.0512,                 1.5598,                0.55707,                0.50303,                0.53572,                0.28003,                  2.293,                 2.5913,                 1.7162,              0.0054861,              0.0054861,              0.0054861
                     31,                 2.1707,                 2.0478,                 1.5666,                0.67564,                0.49394,                0.60713,                 0.3443,                 2.1355,                 2.1737,                 1.6203,              0.0054746,              0.0054746,              0.0054746
                     32,                 2.1474,                 1.9869,                 1.5557,                0.64487,                0.60303,                0.64027,                0.35844,                 2.1366,                 2.0343,                 1.6459,              0.0054631,              0.0054631,              0.0054631
                     33,                 2.1834,                 2.0533,                 1.5776,                0.57742,                 0.4697,                0.53482,                0.30522,                 2.0957,                 2.1825,                  1.629,              0.0054516,              0.0054516,              0.0054516
                     34,                 2.1638,                  1.994,                 1.5692,                0.68308,                0.50292,                0.59534,                0.34272,                 2.1597,                 2.0295,                 1.5912,              0.0054401,              0.0054401,              0.0054401
                     35,                 2.1638,                  2.008,                 1.5779,                0.63835,                0.53333,                0.59189,                0.33553,                 2.1505,                 2.4356,                 1.6211,              0.0054285,              0.0054285,              0.0054285
                     36,                 2.1238,                 1.9497,                 1.5369,                0.63697,                0.54848,                0.60932,                0.34143,                 2.1094,                 2.0902,                 1.5787,               0.005417,               0.005417,               0.005417
                     37,                 2.1024,                 1.9244,                 1.5087,                0.68135,                0.51818,                0.57691,                0.33167,                 2.1521,                 2.3199,                 1.6311,              0.0054055,              0.0054055,              0.0054055
                     38,                 2.0734,                 1.9108,                  1.525,                0.67601,                 0.5303,                0.60807,                0.35497,                 2.0917,                  1.929,                   1.59,               0.005394,               0.005394,               0.005394
                     39,                 2.0882,                 1.9169,                 1.5145,                0.61987,                0.55346,                0.60831,                0.34217,                 2.1336,                  2.164,                 1.5899,              0.0053825,              0.0053825,              0.0053825
                     40,                   2.07,                 1.8772,                 1.5176,                0.56279,                0.49149,                0.51174,                0.26478,                 2.3852,                 3.3354,                 1.7177,               0.005371,               0.005371,               0.005371
                     41,                 2.0456,                 1.8894,                  1.487,                0.62185,                0.50303,                0.54121,                0.29274,                 2.1646,                 2.2413,                 1.6117,              0.0053595,              0.0053595,              0.0053595
                     42,                 2.0751,                 1.8599,                 1.5187,                0.69643,                 0.5697,                 0.6554,                0.37969,                 2.0681,                 1.8601,                 1.5662,              0.0053479,              0.0053479,              0.0053479
                     43,                 2.0395,                 1.8541,                 1.4924,                0.61525,                0.54545,                0.60854,                0.34982,                 2.0585,                   2.13,                 1.5822,              0.0053364,              0.0053364,              0.0053364
                     44,                 2.0246,                 1.8198,                 1.4893,                0.69385,                0.57273,                0.64042,                0.37426,                 2.0601,                 1.8722,                 1.5727,              0.0053249,              0.0053249,              0.0053249
                     45,                 2.0038,                 1.7412,                 1.4621,                0.64944,                0.58788,                0.65198,                0.40044,                 1.9746,                 1.9306,                 1.5197,              0.0053134,              0.0053134,              0.0053134
                     46,                 2.0139,                 1.7767,                  1.494,                 0.6864,                0.49091,                0.59101,                0.33683,                 2.0837,                 2.3164,                 1.5959,              0.0053019,              0.0053019,              0.0053019
                     47,                 2.0316,                 1.7875,                 1.4986,                0.71163,                0.63333,                0.68437,                0.37901,                 2.1181,                 1.8314,                 1.5702,              0.0052904,              0.0052904,              0.0052904
