                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.9739,                 3.6162,                 4.8903,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.062213,              0.0023649,              0.0023649
                      2,                 5.0659,                 3.2625,                 4.0917,                  6e-05,                0.00606,                  3e-05,                  2e-05,                    nan,                    nan,                    nan,               0.023704,               0.004765,               0.004765
                      3,                 4.6894,                 3.2584,                 3.8759,                0.02198,                0.00909,                0.00127,                0.00052,                    nan,                    nan,                    nan,              0.0058666,              0.0058666,              0.0058666
                      4,                 4.3671,                 3.1046,                 3.6588,                0.01322,                0.10909,                0.00568,                0.00158,                 4.8336,                 3.8214,                 4.1704,              0.0058549,              0.0058549,              0.0058549
                      5,                 4.1388,                 2.9816,                 3.5032,                0.00404,                0.15455,                0.00578,                 0.0016,                 5.5375,                 4.4975,                 4.7402,              0.0058433,              0.0058433,              0.0058433
                      6,                 4.0458,                 2.8522,                 3.4097,                0.04178,                0.11818,                0.02089,                 0.0057,                 4.5983,                 8.2935,                 4.2193,              0.0058316,              0.0058316,              0.0058316
                      7,                 3.8938,                 2.7642,                  3.295,                0.11017,                0.06061,                0.04727,                0.01913,                 3.8163,                 3.1834,                 3.3794,              0.0058199,              0.0058199,              0.0058199
                      8,                 3.7796,                 2.6923,                 3.2123,                0.11188,                0.09394,                0.04042,                0.01363,                 3.7673,                 3.2558,                 3.3285,              0.0058082,              0.0058082,              0.0058082
                      9,                 3.7078,                 2.6117,                 3.1336,                0.07325,                0.08788,                0.02218,                0.00807,                 4.1454,                   3.64,                 3.5546,              0.0057965,              0.0057965,              0.0057965
                     10,                 3.5872,                 2.5531,                 3.0609,                0.16496,                0.20909,                 0.1026,                0.03885,                 3.6695,                 2.8753,                 3.2083,              0.0057848,              0.0057848,              0.0057848
                     11,                 3.5127,                 2.4462,                 3.0111,                0.13507,                0.16061,                0.08695,                0.03345,                 3.6763,                 3.4339,                  3.272,              0.0057731,              0.0057731,              0.0057731
                     12,                 3.4692,                 2.3885,                 2.9501,                0.27965,                0.18788,                0.15891,                0.06018,                 3.4922,                 3.2359,                 3.0864,              0.0057615,              0.0057615,              0.0057615
                     13,                 3.4405,                 2.3944,                 2.9313,                0.31911,                0.30535,                0.26539,                0.11946,                 3.2539,                 2.4233,                 2.9119,              0.0057498,              0.0057498,              0.0057498
                     14,                 3.3539,                 2.2775,                 2.8508,                0.31455,                0.23333,                0.19099,                0.08871,                 3.4122,                 2.5041,                  3.022,              0.0057381,              0.0057381,              0.0057381
                     15,                 3.3003,                 2.2459,                  2.789,                0.25689,                0.25875,                0.19336,                0.07986,                 3.4573,                 2.3543,                 2.9701,              0.0057264,              0.0057264,              0.0057264
                     16,                 3.2765,                 2.2118,                 2.7861,                0.39244,                0.29361,                0.28729,                0.12725,                 3.1848,                 2.6551,                 2.8802,              0.0057147,              0.0057147,              0.0057147
                     17,                  3.195,                 2.1492,                   2.71,                0.37484,                0.34521,                0.30111,                0.12422,                 3.0588,                 4.4781,                 2.8029,               0.005703,               0.005703,               0.005703
