                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.408,                 4.7531,                  3.392,                0.00195,                0.23636,                0.00166,                0.00053,                 2.3251,                 4.2566,                 2.9943,                0.08427,              0.0012699,              0.0012699
                      2,                  2.318,                 4.1462,                  2.741,                0.00037,                0.00303,                0.00014,                  3e-05,                    nan,                    nan,                    nan,               0.067609,              0.0026093,              0.0026093
                      3,                 2.0064,                 3.8092,                  2.488,                0.00037,                0.00303,                0.00014,                  3e-05,                    nan,                    nan,                    nan,               0.050943,              0.0039434,              0.0039434
                      4,                 1.9221,                 3.9021,                 2.4169,                0.00011,                0.00303,                  3e-05,                  1e-05,                    nan,                    nan,                    nan,               0.034272,              0.0052721,              0.0052721
                      5,                 1.7811,                 3.6483,                 2.2959,                0.00011,                0.00303,                  3e-05,                  1e-05,                    nan,                    nan,                    nan,               0.017596,              0.0065956,              0.0065956
                      6,                 1.7434,                    3.6,                 2.2794,                0.00045,                0.00606,                0.00022,                0.00012,                    nan,                    nan,                    nan,              0.0073959,              0.0073959,              0.0073959
                      7,                 1.6515,                 3.3925,                 2.1464,                0.00018,                0.02121,                 0.0001,                  2e-05,                    nan,                    nan,                    nan,              0.0073811,              0.0073811,              0.0073811
                      8,                 1.5885,                  3.363,                 2.1073,                0.00235,                0.10303,                0.00094,                0.00038,                    nan,                    nan,                    nan,              0.0073663,              0.0073663,              0.0073663
                      9,                 1.5354,                  3.151,                 2.0101,                0.02378,                0.28485,                0.01621,                0.00536,                    nan,                    nan,                    nan,              0.0073515,              0.0073515,              0.0073515
                     10,                 1.4816,                 3.0841,                  1.948,                0.01875,                0.08182,                0.00695,                 0.0026,                 1.7406,                    inf,                  2.785,              0.0073366,              0.0073366,              0.0073366
                     11,                 1.4099,                 2.9809,                 1.8923,                0.06212,                0.03939,                0.01591,                0.00672,                 2.2662,                 13.419,                 3.5991,              0.0073218,              0.0073218,              0.0073218
                     12,                 1.3897,                  2.863,                  1.858,                0.17516,                0.16602,                0.09186,                0.03893,                 1.6383,                 9.3155,                 2.3887,               0.007307,               0.007307,               0.007307
                     13,                 1.3452,                 2.8106,                 1.8107,                0.26161,                0.18788,                 0.1201,                0.05172,                 1.5196,                 4.4315,                 2.0529,              0.0072922,              0.0072922,              0.0072922
                     14,                 1.3417,                 2.6972,                 1.8263,                0.18766,                0.12424,                0.08646,                0.03434,                 1.5372,                 4.7226,                 2.1138,              0.0072774,              0.0072774,              0.0072774
                     15,                  1.293,                 2.5247,                 1.7297,                0.40417,                0.28182,                0.27188,                0.12304,                 1.2518,                  8.475,                 1.8067,              0.0072626,              0.0072626,              0.0072626
                     16,                 1.2702,                 2.4554,                  1.734,                0.36309,                0.33636,                0.29009,                0.13555,                 1.3212,                 4.5302,                 1.8198,              0.0072477,              0.0072477,              0.0072477
                     17,                 1.2871,                 2.4816,                 1.7328,                0.18604,                0.17731,                0.09833,                0.03711,                  1.463,                  4.761,                 1.9997,              0.0072329,              0.0072329,              0.0072329
                     18,                 1.2395,                 2.3549,                 1.6602,                0.27997,                0.25152,                 0.2183,                0.09676,                 1.3039,                  3.877,                 1.8262,              0.0072181,              0.0072181,              0.0072181
                     19,                 1.2617,                 2.4043,                  1.717,                0.26651,                0.21515,                0.16776,                0.07301,                 1.4034,                 4.3049,                 1.9585,              0.0072033,              0.0072033,              0.0072033
                     20,                 1.2309,                  2.327,                 1.7019,                0.22786,                0.11515,                0.08113,                0.03706,                 1.5241,                  4.491,                 2.1011,              0.0071885,              0.0071885,              0.0071885
                     21,                 1.2224,                 2.3381,                 1.6859,                0.15907,                0.15758,                0.07464,                0.03005,                 1.4788,                 4.9674,                 2.2906,              0.0071737,              0.0071737,              0.0071737
                     22,                 1.1802,                 2.2001,                 1.6198,                0.41717,                0.30303,                0.31759,                0.15644,                 1.2584,                 4.3452,                  1.791,              0.0071588,              0.0071588,              0.0071588
                     23,                 1.2122,                 2.2553,                 1.5988,                0.47076,                0.30606,                0.29669,                0.13019,                 1.3163,                 3.0355,                  1.756,               0.007144,               0.007144,               0.007144
                     24,                 1.1411,                 2.0964,                 1.5569,                0.59753,                0.36667,                0.42047,                0.19328,                 1.2928,                 2.6054,                 1.8031,              0.0071292,              0.0071292,              0.0071292
                     25,                  1.158,                 2.1599,                 1.6052,                0.56887,                0.37185,                0.40783,                 0.1907,                 1.3152,                 3.5233,                 1.8281,              0.0071144,              0.0071144,              0.0071144
