                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4494,                 4.6373,                 3.3055,                0.00175,                0.21212,                0.00138,                0.00046,                 3.3171,                 4.5767,                 3.2698,               0.092761,              0.0007608,              0.0007608
                      2,                 3.4421,                 4.5316,                 3.1796,                0.00213,                0.25758,                0.00242,                0.00111,                 3.3001,                 4.2494,                 2.8883,               0.084614,              0.0016135,              0.0016135
                      3,                 3.2455,                 4.1613,                  2.688,                0.00098,                0.11818,                 0.0006,                0.00018,                 3.4844,                 9.2729,                 2.8031,               0.076463,              0.0024628,              0.0024628
                      4,                 2.8501,                 3.8425,                 2.4127,                0.00187,                0.14545,                0.00092,                0.00026,                 3.5829,                    inf,                 10.812,               0.068309,              0.0033087,              0.0033087
                      5,                  2.677,                 3.6876,                 2.2754,                0.00302,                0.00303,                0.00152,                0.00046,                 5.6857,                 7.7982,                 7.8653,               0.060151,              0.0041513,              0.0041513
                      6,                 2.4911,                  3.507,                 2.1305,                 0.0009,                0.10909,                0.00053,                0.00014,                    nan,                    nan,                    nan,                0.05199,              0.0049904,              0.0049904
                      7,                 2.3551,                 3.3387,                 2.0489,                0.00067,                 0.0697,                0.00037,                0.00011,                 4.8342,                    inf,                 53.164,               0.043826,              0.0058262,              0.0058262
                      8,                 2.2623,                 3.2355,                 1.9654,                 0.0002,                0.02424,                 0.0001,                  3e-05,                 4.1583,                    nan,                 619.15,               0.035659,              0.0066586,              0.0066586
                      9,                 2.1855,                 3.1083,                    1.9,                0.00108,                 0.1303,                 0.0007,                0.00024,                 4.1007,                    inf,                 55.411,               0.027488,              0.0074875,              0.0074875
                     10,                 2.0955,                 2.9931,                 1.8372,                0.00288,                0.13939,                 0.0015,                 0.0005,                 4.0628,                    inf,                 28.168,               0.019313,              0.0083131,              0.0083131
